"cat_Sex","con_Length","con_Diameter","con_Height","con_Whole_weight","con_Shucked_weight","con_Viscera_weight","con_Shell_weight"
"M",0.455,NA,0.095,0.514,0.2245,NA,0.15
"M",0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07
NA,NA,0.42,NA,0.677,NA,0.1415,NA
"M",NA,0.365,NA,0.516,0.2155,0.114,0.155
"I",0.33,0.255,0.08,0.205,0.0895,0.0395,0.055
"I",0.425,0.3,0.095,NA,NA,NA,0.12
"F",NA,0.415,0.15,NA,NA,NA,0.33
"F",0.545,NA,0.125,NA,NA,0.1495,NA
"M",0.475,NA,0.125,0.5095,NA,NA,NA
NA,NA,NA,0.15,NA,0.3145,NA,NA
"F",0.525,0.38,0.14,NA,NA,NA,0.21
"M",0.43,NA,NA,0.406,NA,NA,0.135
"M",NA,0.38,0.135,0.5415,NA,0.095,NA
"F",0.535,NA,NA,NA,0.2725,NA,0.205
"F",0.47,NA,0.1,NA,0.1675,0.0805,NA
"M",0.5,0.4,0.13,0.6645,0.258,0.133,NA
"I",NA,0.28,0.085,0.2905,0.095,0.0395,0.115
NA,0.44,NA,0.1,NA,0.188,0.087,NA
"M",0.365,0.295,NA,NA,0.097,0.043,0.1
"M",NA,0.32,0.1,0.381,0.1705,0.075,0.115
NA,0.355,NA,0.095,0.2455,0.0955,NA,0.075
NA,0.38,0.275,0.1,0.2255,0.08,0.049,0.085
"F",0.565,0.44,0.155,0.9395,NA,NA,0.27
"F",0.55,NA,0.135,0.7635,0.318,NA,0.2
NA,0.615,NA,0.165,NA,0.513,NA,0.305
NA,0.56,NA,0.14,NA,0.3825,0.188,NA
"F",NA,NA,NA,NA,NA,NA,NA
NA,NA,0.445,0.14,0.931,NA,0.234,0.28
NA,NA,0.475,NA,0.9365,0.394,NA,NA
"M",NA,NA,0.14,NA,NA,NA,NA
NA,NA,0.47,NA,NA,0.3935,NA,0.33
NA,NA,NA,NA,1.639,0.6055,0.2805,NA
"M",NA,NA,NA,NA,NA,NA,0.35
"F",NA,NA,NA,NA,NA,NA,NA
NA,0.705,NA,NA,1.7095,0.633,NA,NA
