con_CreditScore,cat_Geography,cat_Gender,con_Age,con_Tenure,con_Balance,con_NumOfProducts,cat_HasCrCard,cat_IsActiveMember,con_EstimatedSalary,cat_Exited
619.0,France,Female,42.0,2.0,0.0,1.0,1.0,1.0,44433.97939453125,1.0
608.0,Spain,Female,41.0,1.0,26069.49453125,1.0,0.0,1.0,112542.58,0.0
502.0,France,Female,42.0,8.0,17189.349755859374,-2.557140275835991,1.0,0.0,113931.57000000002,1.0
699.0,France,Female,39.0,1.0,0.0,2.0,0.0,0.0,93826.63,0.0
850.0,Spain,Female,43.0,2.0,125510.82000000002,1.0,1.0,1.0,113979.0953125,0.0
645.0,Spain,Male,44.0,8.0,113755.78,2.0,1.0,0.0,149756.71,1.0
822.0,France,Male,50.0,6.689778566360474,0.0,2.0,1.0,0.0,10062.8,0.0
376.0,France,Female,29.0,62.376025390625,115046.74000000002,4.0,1.0,0.0,119346.88,1.0
501.0,France,Male,44.0,4.0,19270.439453125,2.0,0.0,1.0,74940.5,0.0
334.779345703125,France,Male,27.0,2.0,134603.88,1.0,1.0,1.0,71725.73,0.0
400.39329833984374,France,Male,31.0,6.0,102016.72,2.0,0.0,0.0,80181.12,1.0
497.0,Spain,Male,24.0,3.0,0.0,2.0,1.0,0.0,76390.01,0.0
476.0,France,Female,34.0,10.0,0.0,-0.29255988001823424,1.0,0.0,26260.98,0.0
549.0,France,Female,25.0,5.0,0.0,2.0,0.0,0.0,190857.79,0.0
635.0,France,Female,35.0,7.0,0.0,2.0,1.0,0.0,65951.65,0.0
616.0,Germany,Male,45.0,3.0,143129.41,2.0,0.0,1.0,64327.259999999995,0.0
653.0,Germany,Male,58.0,1.0,11984.91064453125,1.0,1.0,0.0,5097.67,1.0
549.0,Spain,Female,24.0,9.0,0.0,2.0,1.0,0.0,14406.41,0.0
587.0,Spain,Female,45.0,6.0,39767.03671875,1.0,0.0,0.0,158684.81,0.0
726.0,France,Female,24.0,6.0,17761.606201171875,2.0,1.0,0.0,54724.030000000006,0.0
732.0,France,Male,41.0,8.0,0.0,2.0,1.0,1.0,170886.17,0.0
636.0,Spain,Female,32.0,8.0,0.0,2.0,1.0,0.0,138555.46,0.0
510.0,Spain,Female,38.0,4.0,0.0,1.0,1.0,0.0,118913.53,1.0
669.0,France,Male,46.0,3.0,8420.357373046874,2.0,0.0,1.0,8487.75,0.0
846.0,France,Female,38.0,5.0,0.0,1.0,1.0,1.0,187616.16,0.0
577.0,France,Male,25.0,35.67102890014648,0.0,2.0,0.0,1.0,124508.29,0.0
756.0,Germany,Female,36.0,2.0,136815.64,1.0,1.0,1.0,170041.95,0.0
571.0,France,Female,44.0,9.0,0.0,2.0,0.0,0.0,38433.35,0.0
459.14160232543946,France,Female,43.0,3.0,141349.43,1.0,1.0,1.0,100187.43,0.0
277.1969451904297,France,Female,29.0,0.0,59697.17,2.0,1.0,1.0,53483.21,0.0
591.0,Spain,Female,39.0,3.0,0.0,3.0,1.0,0.0,140469.38,1.0
533.0,France,Female,36.0,7.0,85311.7,1.0,0.0,1.0,156731.91,0.0
553.0,France,Female,41.0,9.0,110112.54,2.0,0.0,0.0,81898.81,0.0
520.0,Spain,Female,42.0,6.0,0.0,2.0,1.0,1.0,34410.55,0.0
722.0,Spain,Female,29.0,9.0,0.0,2.0,1.0,1.0,142033.07,0.0
475.0,France,Female,45.0,0.0,134264.04,1.0,0.0,0.0,27822.99,0.0
490.0,Spain,Male,31.0,3.0,145260.23,1.0,0.0,1.0,114066.76999999999,0.0
804.0,Spain,Male,33.0,38.44257583618164,76548.6,1.0,0.0,1.0,98453.45,0.0
850.0,France,Male,36.0,26.100324153900146,0.0,1.0,1.0,1.0,79071.9677734375,0.0
582.0,Germany,Male,41.0,6.0,30455.6138671875,2.0,0.0,1.0,178074.04,0.0
472.0,Spain,Male,40.0,4.0,0.0,1.0,1.0,0.0,70154.22,0.0
606.4003784179688,France,Female,51.0,8.0,122522.32000000002,1.0,0.0,0.0,181297.65,1.0
556.0,France,Female,61.0,2.0,117419.35,1.0,1.0,1.0,94153.83,0.0
834.0,France,Female,49.0,2.0,131394.56,1.0,0.0,0.0,194365.76,1.0
660.0,Spain,Female,61.0,5.0,155931.11,1.0,1.0,1.0,158338.39,0.0
776.0,Germany,Female,32.0,4.0,109421.13,2.0,1.0,0.0,126517.46,0.0
829.0,Germany,Female,27.0,14.437128639221191,112045.67,1.0,1.0,1.0,75062.02678222656,1.0
382.46192779541013,Germany,Female,39.0,9.0,137843.8,1.0,1.0,1.0,117622.8,1.0
550.0,Germany,Male,54.46070938110351,2.0,23413.46171875,1.0,0.0,0.0,90878.13,0.0
776.0,Germany,Female,37.0,2.0,103769.22,2.0,1.0,0.0,194099.12,0.0
698.0,Germany,Male,44.0,79.78102912902833,116363.37,2.0,1.0,0.0,198059.16,0.0
585.0,Germany,Male,36.0,46.26686697006225,146050.97,2.0,0.0,0.0,86424.57,0.0
788.0,France,Female,33.0,5.0,0.0,2.0,0.0,0.0,116978.18999999999,0.0
681.6582153320312,Germany,Male,41.0,8.0,125561.97,1.0,0.0,0.0,164040.94,1.0
601.0,Germany,Male,42.0,1.0,98495.72,1.0,0.0,0.0,40014.76,1.0
619.0,France,Male,43.0,1.0,125211.92,1.0,1.0,1.0,113410.49000000002,0.0
656.0,France,Male,45.0,5.0,127864.4,1.0,1.0,0.0,87107.57,0.0
725.0,Germany,Male,19.0,0.0,75888.2,-6.527113723754883,0.0,0.0,45613.75,0.0
511.0,Spain,Female,66.0,4.0,0.0,1.0,1.0,0.0,69967.4138671875,1.0
245.70302124023436,France,Male,51.0,4.0,40685.92,1.0,1.0,1.0,46775.28,0.0
742.0,Germany,Male,35.0,5.0,136857.0,1.0,0.0,0.0,84509.57,0.0
687.0,Germany,Female,27.0,9.0,152328.88,2.0,0.0,0.0,126494.82000000002,0.0
555.0,Spain,Female,33.0,1.0,56084.69,2.0,0.0,0.0,178798.13,0.0
684.0,Spain,Male,56.0,27.914412784576417,78707.16,1.0,1.0,1.0,99398.36,0.0
603.0,Germany,Male,26.0,4.0,109166.37,1.0,0.0,1.0,92840.67,0.0
751.0,France,Female,36.0,6.0,12001.63720703125,2.0,1.0,1.0,27758.359999999997,0.0
581.0,Germany,Female,34.0,1.0,101633.04,1.0,1.0,0.0,110431.50999999998,0.0
735.0,Germany,Male,43.0,10.0,123180.00999999998,2.0,1.0,1.0,196673.28,0.0
661.0,Germany,Female,35.0,5.0,150725.53,2.0,0.0,1.0,113656.85,1.0
675.0,France,Female,21.0,5.1209880948066715,98373.26,1.0,1.0,0.0,18203.0,0.0
285.93140411376953,Germany,Male,58.0,12.967136192321778,133745.44,4.0,1.0,0.0,51376.8078125,1.0
813.0,France,Male,29.0,6.0,0.0,1.0,1.0,0.0,33953.87,0.0
657.0,Spain,Female,37.0,17.51225357055664,163607.18,1.0,0.0,1.0,44203.55,1.0
604.0,Germany,Female,25.0,5.0,157780.84,2.0,0.0,1.0,112551.5390625,0.0
519.0,France,Male,36.0,9.0,38333.7953125,2.0,0.0,1.0,145562.4,0.0
735.0,France,Female,21.0,1.0,178718.19,2.0,1.0,0.0,22388.0,0.0
664.0,France,Male,78.98756637573243,8.0,0.0,2.0,1.0,1.0,139161.64,0.0
678.0,France,Female,32.0,9.0,0.0,1.0,1.0,1.0,54490.15830078125,0.0
757.0,Spain,Male,33.0,38.415611267089844,77253.22,1.0,0.0,1.0,194239.63,0.0
416.0,Germany,Female,41.0,10.0,122189.66,-9.323569297790527,1.0,0.0,98301.61,0.0
665.0,France,Female,34.0,53.52357482910156,96645.54,2.0,0.0,0.0,171413.66,0.0
777.0,France,Female,32.0,43.87528915405274,0.0,1.0,1.0,0.0,136458.19,1.0
543.0,France,Female,36.0,7.504029893875122,0.0,2.0,0.0,0.0,26019.59,0.0
506.0,France,Female,34.0,4.0,90307.62,1.0,1.0,1.0,69148.82919921874,0.0
493.0,France,Female,46.0,4.0,0.0,2.0,1.0,0.0,1907.6600000000003,0.0
652.0,Spain,Female,75.0,10.0,0.0,2.0,1.0,1.0,114675.75,0.0
750.0,Spain,Male,22.0,3.0,32483.37109375,1.0,1.0,0.0,128643.35,1.0
729.0,France,Male,30.0,9.0,0.0,2.0,1.0,0.0,151869.35,0.0
646.0,France,Female,46.0,4.0,0.0,3.0,1.0,0.0,93251.42,1.0
635.0,Germany,Female,28.0,3.0,81623.67,2.0,1.0,1.0,156791.36,0.0
647.0,Spain,Female,44.0,5.0,0.0,3.0,1.0,0.0,174205.22,1.0
808.0,France,Male,45.0,7.0,118626.55,2.0,1.0,0.0,147132.46,0.0
524.0,France,Female,36.0,10.0,0.0,2.0,1.0,0.0,109614.57000000002,0.0
769.0,France,Male,29.0,8.0,0.0,10.151343822479248,1.0,1.0,172290.61,0.0
730.0,Spain,Male,42.0,4.0,0.0,2.0,1.0,0.0,85982.47,0.0
515.0,Spain,Male,35.0,10.0,176273.95,1.0,0.0,1.0,121277.78,0.0
773.0,France,Female,41.0,37.489507818222044,102827.44,1.0,0.0,1.0,79357.9890625,0.0
814.0,France,Male,29.0,8.0,97086.4,2.0,1.0,1.0,197276.13,0.0
710.0,Spain,Male,22.0,8.0,0.0,2.0,0.0,0.0,99645.04,0.0
413.0,France,Male,34.0,9.0,0.0,1.7408334016799927,0.0,0.0,6534.18,0.0
665.0,France,Female,40.0,6.0,0.0,1.0,1.0,1.0,161848.03,0.0
623.0,France,Female,44.0,6.0,0.0,2.0,0.0,0.0,167162.43,0.0
738.0,France,Male,31.0,14.138055753707885,12448.38624267578,1.0,1.0,0.0,36893.41394042969,0.0
528.0,France,Male,36.0,7.0,0.0,2.0,1.0,0.0,22621.69892578125,0.0
670.0,Spain,Female,65.0,1.0,0.0,1.0,1.0,1.0,177655.68,1.0
622.0,Spain,Female,46.0,4.0,16928.740625,2.0,1.0,1.0,30984.590000000004,1.0
216.3690933227539,Germany,Male,32.0,1.0,88938.62,1.0,1.0,1.0,10054.53,0.0
785.0,Germany,Female,36.0,2.0,99806.85,1.0,0.0,1.0,36976.52,0.0
520.6122192382812,Spain,Male,33.0,5.0,150092.8,1.0,0.0,0.0,71862.79,0.0
479.0,Germany,Female,35.0,9.0,92833.89,1.0,0.0,0.0,99449.86,1.0
685.0,France,Male,30.0,3.0,90536.81,1.0,0.0,0.0,63082.87999999999,0.0
538.0,Germany,Male,39.0,7.0,108055.1,12.752865552902222,1.0,0.0,80727.5119140625,0.0
562.0,France,Female,42.0,2.0,23278.612109375,1.0,0.0,0.0,86797.41,0.0
289.8348892211914,Spain,Male,36.0,9.0,106190.55,1.0,0.0,1.0,22994.32,0.0
721.0,Germany,Male,28.0,9.0,154475.54,2.0,0.0,0.0,101300.94,1.0
628.0,Germany,Female,30.0,9.0,132351.29,2.0,1.0,1.0,74169.13,0.0
668.0,Germany,Female,37.0,6.0,167864.4,1.0,1.0,0.0,115638.29,0.0
506.0,France,Female,41.0,1.0,0.0,2.0,1.0,0.0,31766.3,0.0
524.0,Germany,Female,31.0,8.0,107818.63,1.0,1.0,0.0,199725.39,1.0
699.0,Germany,Male,34.0,4.0,185173.81,2.0,1.0,0.0,120834.48000000001,0.0
828.0,France,Female,34.0,8.0,129433.34,2.0,0.0,0.0,38131.77,0.0
674.0,Spain,Male,39.0,6.0,120193.42,-10.73213725090027,0.0,0.0,100130.95,0.0
656.0,France,Female,39.0,6.0,38372.016796875,2.0,1.0,0.0,141069.88,0.0
684.0,Germany,Female,48.0,10.0,126384.42,1.0,1.0,1.0,198129.36,0.0
625.0,France,Female,118.08698883056641,3.0,45901.8015625,1.0,0.0,0.0,183646.41,0.0
445.911393737793,France,Male,42.0,9.0,152603.45,1.0,1.0,0.0,110265.24000000002,1.0
549.0,France,Female,52.0,1.0,0.0,0.31583073139190676,0.0,1.0,8636.05,1.0
625.0,Germany,Male,56.0,0.0,148507.24,1.0,1.0,0.0,46824.08,1.0
828.0,France,Female,41.0,7.0,0.0,2.0,1.0,0.0,171378.77,0.0
770.0,France,Male,24.0,38.391010427474974,101827.07,1.0,0.0,0.0,167256.35,0.0
758.0,France,Female,34.0,3.0,0.0,2.0,0.0,1.0,124226.16,0.0
514.6101257324219,Germany,Female,51.2457950592041,9.0,130862.42999999998,1.0,1.0,1.0,114935.21,0.0
687.0,France,Male,38.0,9.0,122570.87,1.0,1.0,1.0,35608.88,0.0
686.0,France,Male,27.89590835571289,1.0,0.0,2.0,0.0,1.0,16459.37,0.0
789.0,Germany,Male,39.0,7.0,124828.46,2.0,1.0,1.0,124411.08,0.0
589.0,Germany,Female,50.0,5.0,144895.05,2.0,1.0,1.0,34941.23,0.0
461.0,France,Female,76.87235107421876,5.0,63663.93000000001,1.0,0.0,1.0,167784.28,0.0
637.0,France,Male,40.0,2.0,133463.1,1.0,0.0,1.0,93165.34,0.0
584.0,Spain,Female,48.0,5.829294157028198,213146.2,1.0,1.0,0.0,151687.9015625,1.0
579.0,Spain,Female,35.0,1.0,129490.36000000002,2.0,0.0,1.0,8590.83,1.0
756.0,Germany,Male,44.0,10.0,137452.09,1.0,1.0,1.0,88320.51201171875,0.0
663.0,France,Male,34.0,7.0,0.0,2.0,1.0,1.0,180427.24,0.0
682.0,France,Female,43.0,5.0,125851.92999999998,1.0,1.0,1.0,193318.33,0.0
793.0,Spain,Male,52.0,2.0,0.0,10.458013248443603,1.0,0.0,159123.82,1.0
691.0,France,Female,31.0,5.0,40915.55,1.0,1.0,0.0,126213.84,1.0
485.0,Spain,Female,21.0,5.0,113157.22,1.0,1.0,1.0,54141.5,0.0
635.0,Spain,Female,29.0,8.0,138296.94,2.0,1.0,0.0,141075.51,0.0
650.0,France,Male,37.0,5.0,106967.17999999998,1.0,0.0,0.0,24495.03,0.0
