con_CreditScore,cat_Geography,cat_Gender,con_Age,con_Tenure,con_Balance,con_NumOfProducts,cat_HasCrCard,cat_IsActiveMember,con_EstimatedSalary,cat_Exited
650.413,France,Male,39.0764,5.0054,75238.381,1.5387,1.0,1.0,101348.88,0.0
608.0,France,Male,39.0764,5.0054,75238.381,1.0,1.0,1.0,112542.58,0.0
650.413,France,Female,42.0,8.0,75238.381,3.0,1.0,0.0,101453.4945,0.0
699.0,France,Male,39.0764,1.0,0.0,1.5387,0.0,1.0,93826.63,0.0
650.413,Spain,Female,43.0,2.0,125510.82,1.0,1.0,1.0,79084.1,0.0
645.0,France,Male,39.0764,8.0,113755.78,1.5387,1.0,1.0,101453.4945,0.0
650.413,France,Male,39.0764,7.0,75238.381,1.5387,1.0,1.0,101453.4945,0.0
650.413,Germany,Male,29.0,5.0054,75238.381,4.0,1.0,1.0,119346.88,0.0
650.413,France,Male,39.0764,4.0,75238.381,2.0,1.0,1.0,74940.5,0.0
650.413,France,Male,27.0,5.0054,134603.88,1.0,1.0,1.0,101453.4945,0.0
650.413,France,Male,31.0,6.0,75238.381,2.0,0.0,0.0,101453.4945,0.0
650.413,Spain,Male,39.0764,5.0054,75238.381,1.5387,1.0,1.0,76390.01,0.0
650.413,France,Female,39.0764,10.0,75238.381,2.0,1.0,1.0,101453.4945,0.0
549.0,France,Male,39.0764,5.0,0.0,2.0,0.0,1.0,101453.4945,0.0
635.0,France,Male,35.0,5.0054,0.0,1.5387,1.0,1.0,101453.4945,0.0
650.413,Germany,Male,39.0764,3.0,143129.41,2.0,1.0,1.0,101453.4945,0.0
650.413,Germany,Male,39.0764,1.0,75238.381,1.0,1.0,1.0,5097.67,0.0
549.0,France,Male,39.0764,9.0,0.0,2.0,1.0,1.0,14406.41,0.0
587.0,France,Male,39.0764,6.0,0.0,1.0,0.0,1.0,158684.81,0.0
650.413,France,Male,39.0764,5.0054,75238.381,1.5387,1.0,1.0,54724.03,0.0
650.413,France,Male,41.0,5.0054,75238.381,1.5387,1.0,1.0,170886.17,0.0
650.413,Spain,Male,39.0764,5.0054,75238.381,2.0,1.0,0.0,101453.4945,0.0
510.0,France,Female,38.0,4.0,0.0,1.0,1.0,0.0,118913.53,0.0
669.0,France,Male,46.0,5.0054,75238.381,1.5387,0.0,1.0,101453.4945,0.0
846.0,France,Female,38.0,5.0054,0.0,1.0,1.0,1.0,187616.16,0.0
650.413,France,Male,25.0,5.0054,0.0,1.5387,0.0,1.0,101453.4945,0.0
756.0,France,Male,39.0764,5.0054,75238.381,1.5387,1.0,1.0,170041.95,0.0
571.0,France,Male,39.0764,5.0054,75238.381,2.0,0.0,0.0,38433.35,0.0
650.413,France,Female,43.0,5.0054,75238.381,1.0,1.0,1.0,100187.43,0.0
411.0,France,Male,29.0,5.0054,75238.381,2.0,1.0,1.0,53483.21,0.0
650.413,France,Female,39.0764,5.0054,75238.381,1.5387,1.0,0.0,101453.4945,1.0
533.0,France,Male,36.0,5.0054,85311.7,1.0,1.0,1.0,156731.91,0.0
650.413,Germany,Male,41.0,9.0,75238.381,1.5387,0.0,0.0,81898.81,0.0
650.413,Spain,Male,39.0764,6.0,0.0,2.0,1.0,1.0,34410.55,0.0
722.0,France,Female,29.0,5.0054,75238.381,1.5387,1.0,1.0,142033.07,0.0
650.413,France,Female,45.0,5.0054,134264.04,1.0,1.0,0.0,27822.99,0.0
650.413,Spain,Male,31.0,5.0054,145260.23,1.0,1.0,1.0,114066.77,0.0
650.413,Spain,Male,39.0764,7.0,75238.381,1.0,0.0,1.0,101453.4945,0.0
650.413,France,Male,39.0764,5.0054,75238.381,1.5387,1.0,1.0,40812.9,0.0
650.413,Germany,Male,39.0764,6.0,70349.48,1.5387,0.0,1.0,101453.4945,0.0
472.0,Spain,Male,40.0,4.0,75238.381,1.0,1.0,0.0,101453.4945,0.0
650.413,France,Male,39.0764,5.0054,122522.32,1.5387,1.0,1.0,101453.4945,1.0
650.413,France,Male,39.0764,5.0054,117419.35,1.5387,1.0,1.0,94153.83,0.0
834.0,France,Male,39.0764,5.0054,75238.381,1.5387,1.0,1.0,101453.4945,1.0
660.0,Spain,Male,61.0,5.0,155931.11,1.0,1.0,1.0,158338.39,0.0
776.0,Germany,Male,32.0,4.0,75238.381,1.5387,1.0,1.0,101453.4945,0.0
650.413,France,Male,39.0764,5.0054,75238.381,1.0,1.0,1.0,101453.4945,0.0
650.413,France,Male,39.0764,5.0054,75238.381,1.5387,1.0,1.0,101453.4945,0.0
550.0,Germany,Male,38.0,2.0,75238.381,1.5387,1.0,1.0,90878.13,0.0
776.0,Germany,Female,39.0764,5.0054,103769.22,2.0,1.0,1.0,194099.12,0.0
650.413,France,Male,39.0764,10.0,75238.381,1.5387,1.0,1.0,198059.16,0.0
585.0,France,Male,36.0,5.0054,75238.381,1.5387,1.0,0.0,86424.57,0.0
650.413,France,Female,39.0764,5.0054,75238.381,1.5387,1.0,1.0,101453.4945,0.0
650.413,France,Male,39.0764,5.0054,75238.381,1.0,1.0,0.0,101453.4945,0.0
601.0,Germany,Male,39.0764,1.0,75238.381,1.0,1.0,1.0,101453.4945,0.0
619.0,France,Male,39.0764,5.0054,75238.381,1.5387,1.0,1.0,113410.49,0.0
650.413,France,Male,45.0,5.0054,127864.4,1.5387,1.0,0.0,87107.57,0.0
725.0,Germany,Male,39.0764,5.0054,75238.381,1.5387,0.0,0.0,45613.75,0.0
511.0,Spain,Male,66.0,4.0,0.0,1.5387,1.0,1.0,101453.4945,0.0
650.413,France,Male,39.0764,4.0,40685.92,1.0,1.0,1.0,101453.4945,0.0
742.0,Germany,Male,39.0764,5.0,136857.0,1.5387,0.0,0.0,101453.4945,0.0
687.0,Germany,Male,39.0764,5.0054,75238.381,2.0,1.0,0.0,101453.4945,0.0
650.413,Spain,Male,33.0,5.0054,56084.69,2.0,0.0,1.0,101453.4945,0.0
684.0,France,Male,56.0,5.0054,78707.16,1.5387,1.0,1.0,101453.4945,0.0
603.0,France,Male,26.0,4.0,75238.381,1.5387,1.0,1.0,101453.4945,0.0
751.0,France,Male,39.0764,6.0,75238.381,2.0,1.0,1.0,101453.4945,0.0
650.413,Germany,Male,34.0,5.0054,101633.04,1.5387,1.0,0.0,110431.51,0.0
735.0,Germany,Male,39.0764,5.0054,123180.01,1.5387,1.0,1.0,196673.28,0.0
650.413,France,Female,35.0,5.0,150725.53,1.5387,1.0,1.0,101453.4945,0.0
675.0,France,Male,39.0764,5.0054,75238.381,1.0,1.0,1.0,18203.0,0.0
738.0,Germany,Male,39.0764,2.0,75238.381,1.5387,1.0,0.0,28373.86,1.0
650.413,France,Male,39.0764,6.0,0.0,1.5387,1.0,0.0,33953.87,0.0
650.413,Spain,Female,37.0,5.0054,163607.18,1.0,1.0,1.0,101453.4945,0.0
604.0,France,Female,25.0,5.0,75238.381,2.0,1.0,1.0,58426.81,0.0
650.413,France,Male,36.0,9.0,0.0,2.0,0.0,1.0,101453.4945,0.0
650.413,France,Male,39.0764,5.0054,75238.381,1.5387,1.0,1.0,22388.0,0.0
664.0,France,Male,55.0,8.0,75238.381,1.5387,1.0,1.0,139161.64,0.0
678.0,France,Male,32.0,9.0,0.0,1.0,1.0,1.0,148210.64,0.0
757.0,Spain,Male,39.0764,5.0054,77253.22,1.5387,1.0,1.0,194239.63,0.0
650.413,France,Female,41.0,5.0054,122189.66,1.5387,1.0,0.0,98301.61,0.0
665.0,France,Female,34.0,1.0,75238.381,1.5387,1.0,0.0,171413.66,0.0
777.0,France,Male,39.0764,5.0054,75238.381,1.0,1.0,0.0,136458.19,1.0
543.0,France,Female,36.0,3.0,0.0,2.0,0.0,0.0,101453.4945,0.0
506.0,France,Male,39.0764,5.0054,75238.381,1.5387,1.0,1.0,101453.4945,0.0
493.0,France,Male,46.0,4.0,75238.381,1.5387,1.0,1.0,101453.4945,0.0
652.0,Spain,Male,39.0764,10.0,0.0,1.5387,1.0,1.0,114675.75,0.0
750.0,Spain,Male,22.0,5.0054,121681.82,1.5387,1.0,1.0,101453.4945,0.0
650.413,France,Male,39.0764,5.0054,0.0,2.0,1.0,0.0,101453.4945,0.0
